time_s,time_min,current_a,voltage_v,power_w,soc_percent,soh_percent,temperature_c,fan_status,protection_active,cycle_count,warnings
1540,25.666666666666668,9.0,13.392189674208868,120.52970706787981,43.61482306584806,99.98990416666769,26.710074431603022,0,0,0.2019166666666677,Normal
1541,25.683333333333334,9.0,13.389826495212068,120.5084384569086,43.56481801742171,99.98989166666769,26.71503043503904,0,0,0.2021666666666677,Normal
1542,25.7,9.0,13.38746283239237,120.48716549153133,43.514812962744095,99.98987916666769,26.719975944481018,0,0,0.2024166666666677,Normal
1543,25.716666666666665,9.0,13.385098685905882,120.46588817315295,43.46480790181522,99.9898666666677,26.724910982151528,0,0,0.2026666666666677,Normal
1544,25.733333333333334,9.0,13.382734055909907,120.44460650318916,43.41480283463508,99.9898541666677,26.72983557022609,0,0,0.2029166666666677,Normal
1545,25.75,9.0,13.38036894256294,120.42332048306646,43.364797761203675,99.9898416666677,26.734749730833258,0,0,0.2031666666666677,Normal
1546,25.766666666666666,9.0,13.378003346024666,120.402030114222,43.314792681521,99.9898291666677,26.739653486054728,0,0,0.2034166666666677,Normal
1547,25.783333333333335,9.0,13.375637266455966,120.3807353981037,43.26478759558705,99.9898166666677,26.744546857925435,0,0,0.2036666666666677,Normal
1548,25.8,9.0,13.373270704018902,120.35943633617012,43.21478250340183,99.98980416666771,26.74942986843365,0,0,0.2039166666666677,Normal
1549,25.816666666666666,9.0,13.370903658876745,120.3381329298907,43.164777404965335,99.98979166666771,26.754302539521085,0,0,0.2041666666666677,Normal
1550,25.833333333333332,9.0,13.368536131193938,120.31682518074544,43.114772300277565,99.98977916666772,26.759164893082982,0,0,0.2044166666666677,Normal
1551,25.85,9.0,13.366168121136127,120.29551309022514,43.06476718933852,99.98976666666772,26.76401695096822,0,0,0.2046666666666677,Normal
1552,25.866666666666667,9.0,13.363799628870142,120.27419665983128,43.014762072148194,99.98975416666772,26.768858734979403,0,0,0.2049166666666677,Normal
1553,25.883333333333333,9.0,13.361430654564003,120.25287589107603,42.96475694870659,99.98974166666773,26.773690266872975,0,0,0.2051666666666677,Normal
1554,25.9,9.0,13.359061198386923,120.23155078548231,42.9147518190137,99.98972916666773,26.778511568359303,0,0,0.2054166666666677,Normal
1555,25.916666666666668,9.0,13.356691260509297,120.21022134458367,42.864746683069534,99.98971666666773,26.783322661102776,0,0,0.2056666666666677,Normal
1556,25.933333333333334,9.0,13.354320841102712,120.18888756992442,42.81474154087408,99.98970416666774,26.78812356672191,0,0,0.2059166666666677,Normal
1557,25.95,9.0,13.351949940339946,120.16754946305952,42.76473639242734,99.98969166666774,26.79291430678944,0,0,0.2061666666666677,Normal
1558,25.966666666666665,9.0,13.349578558394958,120.14620702555462,42.71473123772931,99.98967916666774,26.79769490283242,0,0,0.2064166666666677,Normal
1559,25.983333333333334,9.0,13.347206695442898,120.12486025898608,42.66472607677999,99.98966666666774,26.802465376332304,0,0,0.2066666666666677,Normal
1560,26.0,-3.0,14.428108947427168,-43.2843268422815,42.681394465846864,99.98966250000107,26.799601430516248,0,0,0.20675000000000102,Normal
1561,26.016666666666666,-3.0,14.428899546045134,-43.286698638135405,42.69806285560832,99.9896583333344,26.79674354956633,0,0,0.20683333333333434,Normal
1562,26.033333333333335,-3.0,14.429690091290242,-43.28907027387073,42.71473124606437,99.98965416666773,26.793891720639305,0,0,0.20691666666666766,Normal
1563,26.05,-3.0,14.43048058315596,-43.29144174946788,42.731399637215,99.98965000000106,26.79104593091913,0,0,0.207000000000001,Normal
1564,26.066666666666666,-3.0,14.431271021635775,-43.293813064907326,42.74806802906022,99.9896458333344,26.788206167616888,0,0,0.2070833333333343,Normal
1565,26.083333333333332,-3.0,14.432061406723188,-43.296184220169565,42.764736421600034,99.98964166666772,26.78537241797076,0,0,0.20716666666666764,Normal
1566,26.1,-3.0,14.432851738411708,-43.298555215235126,42.78140481483443,99.98963750000105,26.78254466924594,0,0,0.20725000000000096,Normal
1567,26.116666666666667,-3.0,14.433642016694867,-43.3009260500846,42.79807320876342,99.98963333333438,26.779722908734595,0,0,0.20733333333333429,Normal
1568,26.133333333333333,-3.0,14.434432241566208,-43.303296724698626,42.814741603387,99.98962916666771,26.776907123755805,0,0,0.2074166666666676,Normal
1569,26.15,-3.0,14.435222413019291,-43.305667239057875,42.83140999870516,99.98962500000104,26.774097301655498,0,0,0.20750000000000093,Normal
1570,26.166666666666668,-3.0,14.43601253104769,-43.30803759314307,42.848078394717916,99.98962083333437,26.771293429806406,0,0,0.20758333333333426,Normal
1571,26.183333333333334,-3.0,14.436802595644988,-43.31040778693496,42.864746791425254,99.9896166666677,26.768495495607993,0,0,0.20766666666666758,Normal
1572,26.2,-3.0,14.437592606804788,-43.31277782041437,42.881415188827184,99.98961250000103,26.765703486486412,0,0,0.2077500000000009,Normal
1573,26.216666666666665,-3.0,14.438382564520712,-43.31514769356214,42.898083586923704,99.98960833333436,26.76291738989444,0,0,0.20783333333333423,Normal
1574,26.233333333333334,-3.0,14.439172468786385,-43.31751740635916,42.91475198571481,99.98960416666769,26.76013719331143,0,0,0.20791666666666755,Normal
1575,26.25,-3.0,14.439962319595459,-43.31988695878638,42.931420385200504,99.98960000000102,26.75736288424324,0,0,0.20800000000000088,Normal
1576,26.266666666666666,-3.0,14.440752116941589,-43.322256350824766,42.94808878538079,99.98959583333435,26.754594450222196,0,0,0.2080833333333342,Normal
1577,26.283333333333335,-3.0,14.441541860818456,-43.32462558245537,42.96475718625567,99.98959166666768,26.75183187880702,0,0,0.20816666666666753,Normal
1578,26.3,-3.0,14.442331551219747,-43.32699465365924,42.98142558782513,99.98958750000101,26.749075157582784,0,0,0.20825000000000085,Normal
1579,26.316666666666666,-3.0,14.443121188139168,-43.329363564417505,42.99809399008918,99.98958333333434,26.746324274160845,0,0,0.20833333333333418,Normal
1580,26.333333333333332,-3.0,14.443910771570437,-43.33173231471131,43.014762393047825,99.98957916666767,26.743579216178798,0,0,0.2084166666666675,Normal
1581,26.35,-3.0,14.444700301507291,-43.334100904521875,43.03143079670105,99.989575000001,26.74083997130042,0,0,0.20850000000000082,Normal
1582,26.366666666666667,-3.0,14.445489777943477,-43.33646933383043,43.04809920104887,99.98957083333433,26.738106527215606,0,0,0.20858333333333415,Normal
1583,26.383333333333333,-3.0,14.446279200872759,-43.33883760261828,43.06476760609128,99.98956666666766,26.735378871640325,0,0,0.20866666666666747,Normal
1584,26.4,-3.0,14.447068570288915,-43.341205710866745,43.08143601182828,99.98956250000099,26.732656992316556,0,0,0.2087500000000008,Normal
1585,26.416666666666668,-3.0,14.447857886185735,-43.343573658557204,43.098104418259865,99.98955833333432,26.72994087701224,0,0,0.20883333333333412,Normal
1586,26.433333333333334,-3.0,14.448647148557034,-43.3459414456711,43.11477282538604,99.98955416666765,26.727230513521214,0,0,0.20891666666666744,Normal
1587,26.45,-3.0,14.44943635739663,-43.34830907218989,43.13144123320681,99.98955000000097,26.72452588966317,0,0,0.20900000000000077,Normal
1588,26.466666666666665,-3.0,14.450225512698356,-43.35067653809507,43.148109641722165,99.9895458333343,26.72182699328359,0,0,0.2090833333333341,Normal
1589,26.483333333333334,-3.0,14.451014614456074,-43.353043843368226,43.164778050932114,99.98954166666763,26.719133812253695,0,0,0.20916666666666742,Normal
1590,26.5,-3.0,14.45180366266364,-43.35541098799092,43.181446460836646,99.98953750000096,26.716446334470394,0,0,0.20925000000000074,Normal
1591,26.516666666666666,-3.0,14.45259265731494,-43.35777797194482,43.19811487143577,99.9895333333343,26.713764547856222,0,0,0.20933333333333407,Normal
1592,26.533333333333335,-3.0,14.453381598403867,-43.3601447952116,43.214783282729485,99.98952916666762,26.71108844035929,0,0,0.2094166666666674,Normal
1593,26.55,-3.0,14.454170485924337,-43.36251145777301,43.23145169471779,99.98952500000095,26.708417999953234,0,0,0.2095000000000007,Normal
1594,26.566666666666666,-3.0,14.45495931987027,-43.36487795961081,43.24812010740069,99.98952083333428,26.705753214637156,0,0,0.20958333333333404,Normal
1595,26.583333333333332,-3.0,14.455748100235606,-43.367244300706815,43.264788520778175,99.98951666666761,26.703094072435572,0,0,0.20966666666666736,Normal
1596,26.6,-3.0,14.456536827014306,-43.36961048104292,43.28145693485025,99.98951250000094,26.700440561398356,0,0,0.20975000000000069,Normal
1597,26.616666666666667,-3.0,14.457325500200328,-43.37197650060099,43.29812534961691,99.98950833333427,26.697792669600688,0,0,0.209833333333334,Normal
1598,26.633333333333333,-3.0,14.458114119787664,-43.37434235936299,43.314793765078164,99.9895041666676,26.695150385143005,0,0,0.20991666666666733,Normal
1599,26.65,-3.0,14.458902685770314,-43.37670805731094,43.33146218123401,99.98950000000093,26.69251369615094,0,0,0.21000000000000066,Normal
1600,26.666666666666668,-3.0,14.459691198142286,-43.379073594426856,43.348130598084445,99.98949583333426,26.689882590775266,0,0,0.21008333333333398,Normal
1601,26.683333333333334,-3.0,14.460479656897611,-43.381438970692834,43.36479901562947,99.98949166666759,26.68725705719186,0,0,0.2101666666666673,Normal
1602,26.7,-3.0,14.46126806203033,-43.38380418609099,43.38146743386909,99.98948750000092,26.684637083601633,0,0,0.21025000000000063,Normal
1603,26.716666666666665,-3.0,14.462056413534503,-43.38616924060351,43.3981358528033,99.98948333333425,26.682022658230476,0,0,0.21033333333333395,Normal
1604,26.733333333333334,-3.0,14.462844711404198,-43.38853413421259,43.4148042724321,99.98947916666758,26.679413769329223,0,0,0.21041666666666728,Normal
1605,26.75,-3.0,14.463632955633509,-43.39089886690053,43.43147269275549,99.98947500000091,26.676810405173583,0,0,0.2105000000000006,Normal
1606,26.766666666666666,-3.0,14.46442114621653,-43.39326343864959,43.44814111377347,99.98947083333424,26.6742125540641,0,0,0.21058333333333393,Normal
1607,26.783333333333335,-3.0,14.465209283147383,-43.39562784944215,43.46480953548603,99.98946666666757,26.67162020432608,0,0,0.21066666666666725,Normal
1608,26.8,-3.0,14.465997366420194,-43.39799209926058,43.48147795789319,99.9894625000009,26.669033344309565,0,0,0.21075000000000058,Normal
1609,26.816666666666666,-3.0,14.466785396029113,-43.40035618808734,43.49814638099494,99.98945833333423,26.666451962389264,0,0,0.2108333333333339,Normal
1610,26.833333333333332,-3.0,14.467573371968298,-43.40272011590489,43.51481480479128,99.98945416666756,26.6638760469645,0,0,0.21091666666666722,Normal
1611,26.85,-3.0,14.468361294231928,-43.405083882695784,43.53148322928221,99.98945000000089,26.661305586459164,0,0,0.21100000000000055,Normal
1612,26.866666666666667,-3.0,14.469149162814187,-43.40744748844256,43.54815165446773,99.98944583333422,26.65874056932166,0,0,0.21108333333333387,Normal
1613,26.883333333333333,-3.0,14.469936977709287,-43.40981093312786,43.56482008034784,99.98944166666755,26.656180984024864,0,0,0.2111666666666672,Normal
1614,26.9,-3.0,14.47072473891144,-43.412174216734314,43.58148850692255,99.98943750000088,26.653626819066048,0,0,0.21125000000000052,Normal
1615,26.916666666666668,-3.0,14.471512446414886,-43.41453733924466,43.59815693419184,99.9894333333342,26.65107806296685,0,0,0.21133333333333384,Normal
1616,26.933333333333334,-3.0,14.47230010021387,-43.41690030064161,43.61482536215573,99.98942916666753,26.648534704273214,0,0,0.21141666666666717,Normal
1617,26.95,-3.0,14.473087700302658,-43.419263100907976,43.631493790814204,99.98942500000086,26.645996731555343,0,0,0.2115000000000005,Normal
1618,26.966666666666665,-3.0,14.473875246675528,-43.421625740026585,43.64816222016727,99.9894208333342,26.643464133407637,0,0,0.21158333333333382,Normal
1619,26.983333333333334,-3.0,14.474662739326769,-43.42398821798031,43.66483065021493,99.98941666666752,26.640936898448654,0,0,0.21166666666666714,Normal
1620,27.0,4.0,13.843546057135647,55.37418422854259,43.642606075891926,99.98941111111196,26.639156270287234,0,0,0.21177777777777826,Normal
1621,27.016666666666666,4.0,13.842495954326086,55.369983817304345,43.62038150033409,99.9894055555564,26.63737941296192,0,0,0.21188888888888938,Normal
1622,27.033333333333335,4.0,13.841445755911604,55.365783023646415,43.598156923541424,99.98940000000084,26.63560631848741,0,0,0.2120000000000005,Normal
1623,27.05,4.0,13.840395461905759,55.361581847623036,43.575932345513934,99.98939444444528,26.63383697889532,0,0,0.2121111111111116,Normal
1624,27.066666666666666,4.0,13.839345072322162,55.35738028928865,43.55370776625161,99.98938888888972,26.63207138623413,0,0,0.21222222222222273,Normal
1625,27.083333333333332,4.0,13.83829458717446,55.35317834869784,43.53148318575446,99.98938333333416,26.630309532569164,0,0,0.21233333333333385,Normal
1626,27.1,4.0,13.837244006476357,55.34897602590543,43.50925860402248,99.9893777777786,26.628551409982546,0,0,0.21244444444444496,Normal
1627,27.116666666666667,4.0,13.836193330241596,55.34477332096638,43.48703402105566,99.98937222222304,26.62679701057317,0,0,0.21255555555555608,Normal
1628,27.133333333333333,4.0,13.835142558483971,55.340570233935885,43.46480943685402,99.98936666666748,26.625046326456662,0,0,0.2126666666666672,Normal
1629,27.15,4.0,13.83409169121732,55.33636676486928,43.44258485141754,99.98936111111192,26.623299349765343,0,0,0.21277777777777832,Normal
1630,27.166666666666668,4.0,13.833040728455531,55.332162913822124,43.420360264746236,99.98935555555636,26.621556072648193,0,0,0.21288888888888943,Normal
1631,27.183333333333334,4.0,13.831989670212534,55.32795868085014,43.3981356768401,99.9893500000008,26.61981648727082,0,0,0.21300000000000055,Normal
1632,27.2,4.0,13.830938516502307,55.32375406600923,43.37591108769913,99.98934444444524,26.618080585815424,0,0,0.21311111111111167,Normal
1633,27.216666666666665,4.0,13.829887267338876,55.3195490693555,43.35368649732333,99.98933888888968,26.616348360480757,0,0,0.21322222222222278,Normal
1634,27.233333333333334,4.0,13.828835922736314,55.315343690945255,43.3314619057127,99.98933333333412,26.614619803482093,0,0,0.2133333333333339,Normal
1635,27.25,4.0,13.827784482708736,55.311137930834946,43.30923731286724,99.98932777777856,26.61289490705119,0,0,0.21344444444444502,Normal
1636,27.266666666666666,4.0,13.82673294727031,55.30693178908124,43.28701271878695,99.989322222223,26.611173663436258,0,0,0.21355555555555614,Normal
1637,27.283333333333335,4.0,13.825681316435245,55.30272526574098,43.264788123471824,99.98931666666743,26.609456064901924,0,0,0.21366666666666725,Normal
1638,27.3,4.0,13.824629590217798,55.29851836087119,43.24256352692187,99.98931111111187,26.60774210372919,0,0,0.21377777777777837,Normal
1639,27.316666666666666,4.0,13.823577768632276,55.294311074529105,43.220338929137085,99.98930555555631,26.60603177221541,0,0,0.2138888888888895,Normal
1640,27.333333333333332,4.0,13.822525851693026,55.290103406772104,43.19811433011747,99.98930000000075,26.60432506267425,0,0,0.2140000000000006,Normal
1641,27.35,4.0,13.821473839414448,55.28589535765779,43.17588972986302,99.98929444444519,26.602621967435645,0,0,0.21411111111111172,Normal
1642,27.366666666666667,4.0,13.820421731810985,55.28168692724394,43.15366512837374,99.98928888888963,26.60092247884578,0,0,0.21422222222222284,Normal
1643,27.383333333333333,4.0,13.819369528897125,55.2774781155885,43.13144052564962,99.98928333333407,26.599226589267047,0,0,0.21433333333333396,Normal
1644,27.4,4.0,13.818317230687406,55.27326892274962,43.10921592169068,99.98927777777851,26.597534291078013,0,0,0.21444444444444508,Normal
1645,27.416666666666668,4.0,13.81726483719641,55.26905934878564,43.0869913164969,99.98927222222295,26.595845576673376,0,0,0.2145555555555562,Normal
1646,27.433333333333334,4.0,13.816212348438768,55.26484939375507,43.06476671006829,99.98926666666739,26.594160438463952,0,0,0.2146666666666673,Normal
1647,27.45,4.0,13.815159764429152,55.26063905771661,43.042542102404845,99.98926111111183,26.592478868876615,0,0,0.21477777777777843,Normal
1648,27.466666666666665,4.0,13.814107085182286,55.256428340729144,43.02031749350657,99.98925555555627,26.59080086035429,0,0,0.21488888888888955,Normal
1649,27.483333333333334,4.0,13.813054310712943,55.25221724285177,42.99809288337346,99.98925000000071,26.58912640535589,0,0,0.21500000000000066,Normal
1650,27.5,4.0,13.812001441035926,55.248005764143706,42.97586827200551,99.98924444444515,26.587455496356313,0,0,0.21511111111111178,Normal
1651,27.516666666666666,4.0,13.810948476166107,55.24379390466443,42.953643659402736,99.98923888888959,26.58578812584638,0,0,0.2152222222222229,Normal
1652,27.533333333333335,4.0,13.80989541611839,55.23958166447356,42.93141904556513,99.98923333333403,26.584124286332823,0,0,0.21533333333333401,Normal
1653,27.55,4.0,13.80884226090773,55.23536904363092,42.90919443049268,99.98922777777847,26.582463970338235,0,0,0.21544444444444513,Normal
1654,27.566666666666666,4.0,13.807789010549127,55.23115604219651,42.886969814185406,99.9892222222229,26.580807170401048,0,0,0.21555555555555625,Normal
1655,27.583333333333332,4.0,13.806735665057625,55.2269426602305,42.86474519664329,99.98921666666735,26.57915387907549,0,0,0.21566666666666737,Normal
1656,27.6,4.0,13.805682224448322,55.22272889779329,42.842520577866345,99.98921111111179,26.577504088931565,0,0,0.21577777777777848,Normal
1657,27.616666666666667,4.0,13.804628688736354,55.21851475494542,42.82029595785456,99.98920555555623,26.575857792555006,0,0,0.2158888888888896,Normal
1658,27.633333333333333,4.0,13.803575057936907,55.21430023174763,42.79807133660795,99.98920000000066,26.574214982547243,0,0,0.21600000000000072,Normal
1659,27.65,4.0,13.802521332065213,55.21008532826085,42.775846714126494,99.9891944444451,26.57257565152538,0,0,0.21611111111111184,Normal
1660,27.666666666666668,4.0,13.80146751113655,55.2058700445462,42.75362209041021,99.98918888888954,26.57093979212215,0,0,0.21622222222222295,Normal
1661,27.683333333333334,4.0,13.800413595166244,55.201654380664976,42.73139746545909,99.98918333333398,26.56930739698589,0,0,0.21633333333333407,Normal
1662,27.7,4.0,13.799359584169666,55.197438336678665,42.70917283927314,99.98917777777842,26.56767845878051,0,0,0.2164444444444452,Normal
1663,27.716666666666665,4.0,13.798305478162234,55.19322191264894,42.686948211852346,99.98917222222286,26.566052970185446,0,0,0.2165555555555563,Normal
1664,27.733333333333334,4.0,13.79725127715941,55.18900510863764,42.664723583196725,99.9891666666673,26.564430923895642,0,0,0.21666666666666742,Normal
1665,27.75,4.0,13.796196981176703,55.18478792470681,42.642498953306266,99.98916111111174,26.56281231262151,0,0,0.21677777777777854,Normal
1666,27.766666666666666,4.0,13.795142590229672,55.180570360918686,42.62027432218097,99.98915555555618,26.5611971290889,0,0,0.21688888888888966,Normal
1667,27.783333333333335,4.0,13.794088104333918,55.17635241733567,42.59804968982084,99.98915000000062,26.559585366039066,0,0,0.21700000000000078,Normal
1668,27.8,4.0,13.79303352350509,55.17213409402036,42.575825056225874,99.98914444444506,26.55797701622863,0,0,0.2171111111111119,Normal
1669,27.816666666666666,4.0,13.791978847758882,55.16791539103553,42.55360042139607,99.9891388888895,26.556372072429557,0,0,0.217222222222223,Normal
1670,27.833333333333332,4.0,13.790924077111038,55.16369630844415,42.53137578533143,99.98913333333394,26.554770527429117,0,0,0.21733333333333413,Normal
1671,27.85,4.0,13.78986921157734,55.15947684630936,42.509151148031954,99.98912777777838,26.553172374029856,0,0,0.21744444444444525,Normal
1672,27.866666666666667,4.0,13.788814251173626,55.155257004694505,42.48692650949764,99.98912222222282,26.55157760504956,0,0,0.21755555555555636,Normal
1673,27.883333333333333,4.0,13.787759195915779,55.151036783663116,42.46470186972849,99.98911666666726,26.54998621332122,0,0,0.21766666666666748,Normal
1674,27.9,4.0,13.786704045819718,55.14681618327887,42.442477228724506,99.9891111111117,26.54839819169301,0,0,0.2177777777777786,Normal
1675,27.916666666666668,4.0,13.785648800901418,55.14259520360567,42.42025258648569,99.98910555555614,26.54681353302825,0,0,0.21788888888888971,Normal
1676,27.933333333333334,4.0,13.7845934611769,55.1383738447076,42.39802794301203,99.98910000000058,26.545232230205364,0,0,0.21800000000000083,Normal
1677,27.95,4.0,13.783538026662224,55.1341521066489,42.37580329830354,99.98909444444502,26.54365427611787,0,0,0.21811111111111195,Normal
1678,27.966666666666665,4.0,13.782482497373504,55.129929989494016,42.353578652360206,99.98908888888946,26.542079663674325,0,0,0.21822222222222307,Normal
1679,27.983333333333334,4.0,13.7814268733269,55.1257074933076,42.331354005182035,99.9890833333339,26.540508385798308,0,0,0.21833333333333418,Normal
